name,category,n_blocks,block_balance,E_cl,E_rob_proxy,delta_otimes_proxy,delta_gov_proxy,E_lg,nmi,ari,macro_f1,contestability_proxy,responsibility_residue
singleton,trivial,80,1.000000,0.0000000000,0.0000000000,,0.2217391304,0.0491682420,0.817692,0.000000,0.007500,0.667391,0.000000
one_block,trivial,1,0.000000,0.0000000000,0.0000000000,,0.3333333333,0.1111111111,0.000000,0.000000,0.002780,0.000000,0.000000
rewire_spectral_2,null_world_rewire,2,1.000000,0.1549943425,0.1549943425,,0.0000000000,0.1549943425,0.100876,-0.001394,0.008863,1.000000,0.000000
random_4,random_null,3,0.983539,0.1875170640,0.1875170640,,0.0000000000,0.1875170640,0.172829,-0.004475,0.004850,1.000000,0.000000
rewire_spectral_1,null_world_rewire,2,1.000000,0.1883376644,0.1883376644,,0.0000000000,0.1883376644,0.122236,0.003728,0.003578,1.000000,0.000000
rewire_spectral_0,null_world_rewire,2,1.000000,0.2045197415,0.2045197415,,0.0000000000,0.2045197415,0.107437,-0.005236,0.005285,1.000000,0.000000
q_star,framework,3,0.946395,0.1649852440,0.2084821870,,0.2222222222,0.2143679600,0.358929,0.082016,0.006868,0.666667,0.000000
degree_median,stat_baseline,2,0.168661,0.1158306086,0.1158306086,,0.3333333333,0.2269417197,0.043401,0.001467,0.002849,0.500000,0.000000
random_7,random_null,3,0.996057,0.1976749224,0.1976749224,,0.2222222222,0.2470576384,0.183204,-0.004072,0.009440,0.666667,0.000000
random_3,random_null,3,0.989199,0.2361773999,0.2361773999,,0.1111111111,0.2485230789,0.138634,-0.010723,0.010349,0.833333,0.000000
random_0,random_null,3,0.988427,0.2000559337,0.2000559337,,0.2222222222,0.2494386497,0.163087,-0.007238,0.008013,0.666667,0.000000
spectral,graph_baseline,2,1.000000,0.1424612189,0.1424612189,,0.3333333333,0.2535723300,0.270759,0.058792,0.003497,0.500000,0.000000
random_5,random_null,3,0.971311,0.2060345995,0.2060345995,,0.2222222222,0.2554173155,0.208596,0.005360,0.008435,0.666667,0.000000
random_1,random_null,3,0.995488,0.2099719748,0.2099719748,,0.2222222222,0.2593546909,0.185409,-0.000471,0.010499,0.666667,0.000000
label_frequency,stat_baseline,2,0.507411,0.1581970326,0.1581970326,,0.3333333333,0.2693081437,0.207968,0.023915,0.004103,0.500000,0.000000
louvain,graph_baseline,7,0.984107,0.2021338257,0.2021338257,,0.2666666667,0.2732449368,0.701060,0.355604,0.000000,0.600000,0.000000
random_6,random_null,3,0.978970,0.2719501106,0.2719501106,,0.1111111111,0.2842957896,0.190554,0.008855,0.009417,0.833333,0.000000
random_2,random_null,3,0.983539,0.1768723184,0.1768723184,,0.3333333333,0.2879834295,0.177127,-0.009876,0.005403,0.500000,0.000000
rewire_spectral_3,null_world_rewire,2,1.000000,0.2517921058,0.2517921058,,0.3333333333,0.3629032169,0.136483,0.007570,0.007074,0.500000,0.000000
